✅ Starting NGINX server
127.0.0.1 - - [17/May/2025:07:25:19 +0000] "GET /health HTTP/1.1" 200 716 "-" "curl/8.12.1" "-"
223.185.134.194 - - [17/May/2025:07:25:29 +0000] "GET / HTTP/1.1" 200 716 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:25:30 +0000] "GET /assets/index-302e193b.css HTTP/1.1" 200 2036 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:25:31 +0000] "GET /assets/index-b9320018.js HTTP/1.1" 200 282281 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:25:31 +0000] "GET /placeholder-hero.svg HTTP/1.1" 200 716 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:25:31 +0000] "GET /vite.svg HTTP/1.1" 200 287 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:25:39 +0000] "GET /api/history?limit=5 HTTP/1.1" 401 30 "https://probeops.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:25:39 +0000] "GET /login HTTP/1.1" 302 145 "https://probeops.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [17/May/2025:07:25:51 +0000] "GET /health HTTP/1.1" 200 716 "-" "curl/7.81.0" "-"
127.0.0.1 - - [17/May/2025:07:26:19 +0000] "GET /health HTTP/1.1" 200 716 "-" "curl/8.12.1" "-"
223.185.134.194 - - [17/May/2025:07:26:33 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:33 +0000] "GET / HTTP/1.1" 200 716 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:34 +0000] "GET /assets/index-02cf828a.css HTTP/1.1" 200 2228 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:35 +0000] "GET /assets/index-94c04cd1.js HTTP/1.1" 200 282273 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:35 +0000] "GET /placeholder-hero.svg HTTP/1.1" 200 716 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:36 +0000] "GET /vite.svg HTTP/1.1" 200 287 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:44 +0000] "GET /api/history?limit=5 HTTP/1.1" 401 30 "https://probeops.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:44 +0000] "GET /vite.svg HTTP/1.1" 304 0 "https://probeops.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:44 +0000] "GET /login HTTP/1.1" 302 145 "https://probeops.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:45 +0000] "GET / HTTP/1.1" 304 0 "https://probeops.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:45 +0000] "GET /assets/index-02cf828a.css HTTP/1.1" 304 0 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:45 +0000] "GET /assets/index-94c04cd1.js HTTP/1.1" 304 0 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
223.185.134.194 - - [17/May/2025:07:26:45 +0000] "GET /placeholder-hero.svg HTTP/1.1" 304 0 "https://probeops.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"

